target_participation,actual_participation,day,step,data_idx,clock_hour,reward,safety,converged,grid_p_mw,ev_p_mw,min_vm_pu,max_vm_pu,max_line_loading_percent,max_trafo_loading_percent
0.0,0.0,0,0,16,8.0,0.0,0.0,True,0.7648049050134207,0.0,0.9844640013999753,1.0247631275862863,12.485221957224562,42.654938829530394
0.0,0.0,0,1,17,8.5,0.0,0.0,True,0.7498105435982791,0.0,0.9850767666087726,1.0257427600592706,12.227323260384185,41.77341046036648
0.0,0.0,0,2,18,9.0,0.0,0.0,True,0.8733031420373254,0.13502901419997215,0.9803277501933959,1.021037618217951,11.96942431464571,40.891992767086506
0.0,0.0,0,3,19,9.5,0.0,0.0,True,0.8820987083364004,0.15760000652590034,0.9775080292673405,1.0193004608154297,11.718840696564007,40.03553914583305
0.0,0.0,0,4,20,10.0,0.0,0.0,True,0.8940473282748934,0.18529515969567,0.9776650403083175,1.0188877582550049,11.468259532189249,39.179032058961745
0.0,0.0,0,5,21,10.5,0.0,0.0,True,0.8910246390233126,0.1918899884603552,0.9775993072594122,1.0189946302992234,11.312787880686246,38.64762058518394
0.0,0.0,0,6,22,11.0,0.0,0.0,True,0.8479766636736564,0.16126960550215097,0.9810821572434946,1.0228793201174757,11.157318558302984,38.11614342495414
0.0,0.0,0,7,23,11.5,0.0,0.0,True,0.713936272404063,0.040379611426403735,0.9859682727916763,1.0282489366039154,11.005504557563157,37.5971312061086
0.0,0.0,0,8,24,12.0,0.0,0.0,True,0.6820361361405891,0.01920000091195108,0.9874264264803372,1.0299871911722513,10.853692535881358,37.07819698133463
0.0,0.0,0,9,25,12.5,0.0,0.0,True,0.6597636418279161,0.000883443217642541,0.988970129074272,1.031671025331319,10.817111057253998,36.9531268664324
0.0,0.0,0,10,26,13.0,0.0,0.0,True,0.655577314478146,0.0,0.9892012009328954,1.0319625678928797,10.780528963042926,36.82808195195905
0.0,0.0,0,11,27,13.5,0.0,0.0,True,0.6579187285112701,0.0,0.9890679819998606,1.0318005055644943,10.796990890400822,36.884352717339475
0.0,0.0,0,12,28,14.0,0.0,0.0,True,0.660260640343062,0.0,0.9889348509719712,1.0316385351008246,10.81345309317336,36.94062442242461
0.0,0.0,0,13,29,14.5,0.0,0.0,True,0.7846864251897205,0.10000000149011612,0.986623939425524,1.0287415529858697,11.166462760412758,38.147283737789095
0.0,0.0,0,14,30,15.0,0.0,0.0,True,0.707520528199468,0.0003482547937915135,0.9868550352859763,1.0285328235295559,11.519474239754986,39.35389657267881
0.0,0.0,0,15,31,15.5,0.0,0.0,True,0.7516311285019897,0.0,0.9849295756231606,1.0256057586277376,12.212691180637703,41.723400052562084
0.0,0.0,0,16,32,16.0,0.0,0.0,True,0.8383862489531544,0.03599999938160181,0.9805252951570191,1.0263719347167288,12.905907706008012,44.09282979969603
0.0,0.0,0,17,33,16.5,0.0,0.0,True,0.8923905918245734,0.06479999888688326,0.983871167403629,1.0295533040534417,13.196729666140552,45.086809755082854
0.0,0.0,0,18,34,17.0,0.0,0.0,True,1.0633309176941579,0.20789931899315026,0.9722042242649072,1.0222135782241821,13.487551079135674,46.08110185005538
0.0,0.0,0,19,35,17.5,0.0,0.0,True,0.9396939877609713,0.09360000077991074,0.9812456823490726,1.026370256343798,13.494867260402286,46.10591975229747
0.0,0.0,0,20,36,18.0,0.0,0.0,True,0.9653620905572292,0.11928257205072264,0.9793741052664198,1.024362967193831,13.502183266663256,46.13096556918683
0.0,0.0,0,21,37,18.5,0.0,0.0,True,0.9476806636582223,0.10768746893154457,0.9805242331074374,1.0256840400821476,13.429020961537844,45.88086763725746
0.0,0.0,0,22,38,19.0,0.0,0.0,True,0.9287259980316253,0.09485494425954696,0.9815430336825204,1.026864204982544,13.35585805414629,45.630770412885305
0.0,0.0,0,23,39,19.5,0.0,0.0,True,0.915196631132031,0.0856537777588176,0.9822260468505409,1.0277147964412918,13.260747048652851,45.30566008141055
0.0,0.0,0,24,40,20.0,0.0,0.0,True,0.8800116788478186,0.055877146987494346,0.9841725459416951,1.0299128742031274,13.165634755787876,44.98051891635854
0.0,0.0,0,25,41,20.5,0.0,0.0,True,0.8440760935558085,0.050399999227012084,0.9795734391807931,1.0255351376082689,12.76506847703648,43.61145148579642
0.0,0.0,0,26,42,21.0,0.0,0.0,True,0.803094423875366,0.03914267065929307,0.9817436682591306,1.0220333174464633,12.364502631852035,42.24236838276191
0.0,0.0,0,27,43,21.5,0.0,0.0,True,0.7738701330100584,0.02797423334710275,0.983357780235899,1.024093558407689,12.091972512431862,41.31080797444156
0.0,0.0,0,28,44,22.0,0.0,0.0,True,0.7384056013705941,0.010748623144494564,0.985177235781237,1.0263706320844554,11.81944093897148,40.379238367129936
0.0,0.0,0,29,45,22.5,0.0,0.0,True,0.720663129924426,0.005706731747975423,0.9860875422691888,1.027578815549664,11.629217393524033,39.72902221230968
0.0,0.0,0,30,46,23.0,0.0,0.0,True,0.7022443576122436,0.0,0.987067365699029,1.028860708832953,11.438994136189025,39.078805609408114
0.0,0.0,0,31,47,23.5,0.0,0.0,True,0.6923832535534699,0.0,0.987478170059968,1.0295064629597517,11.2743774183025,38.516125771983255
0.0,0.0,0,32,48,0.0,0.0,0.0,True,0.6825241628368232,0.0,0.9878888174718008,1.030151988892358,11.109761732063692,37.95344947524511
0.0,0.0,0,33,49,0.5,0.0,0.0,True,0.6813114650076529,0.0,0.9879336911617629,1.0302299433253703,11.085983358141835,37.87217242211104
0.0,0.0,0,34,50,1.0,0.0,0.0,True,0.6800989369496112,0.0,0.9879786807076633,1.0303080175873598,11.062206133103409,37.790899293774544
0.0,0.0,0,35,51,1.5,0.0,0.0,True,0.6912681779466581,0.0,0.9875106997379223,1.0295760487871308,11.24694197216379,38.422348848173726
0.0,0.0,0,36,52,2.0,0.0,0.0,True,0.7024399919883308,0.0,0.987042517620863,1.0288437905020411,11.43167779665136,39.0537983711261
0.0,0.0,0,37,53,2.5,0.0,0.0,True,0.7182947094122472,0.0,0.9863915734293575,1.0278077923897069,11.702379791535169,39.97909001877344
0.0,0.0,0,38,54,3.0,0.0,0.0,True,0.7341541336363075,0.0,0.985740272743488,1.026771253135914,11.973081843504051,40.90438189631177
0.0,0.0,0,39,55,3.5,0.0,0.0,True,0.765066621548948,0.0,0.9844143323545185,1.024736394465667,12.465101621983846,42.58616715754967
