target_participation,actual_participation,day,n_evs,n_smart_evs,converged,peak_grid_p_mw,valley_grid_p_mw,mean_grid_p_mw,load_variance,import_energy_mwh,peak_ev_p_mw,ev_energy_mwh,min_vm_pu,max_vm_pu,max_line_loading_percent,max_trafo_loading_percent,total_reward,total_safety,target_feasible_fraction,target_met_fraction,smart_target_met_fraction,uncontrolled_target_met_fraction
0.0,0.0,0,36,0,True,1.0633309176941579,0.655577314478146,0.8026560185460031,0.010621667454105282,19.263744445104074,0.20789931899315026,0.9957612861897518,0.9722042242649072,1.03277686652155,15.060549921155983,51.45749490507227,-212.5497579574585,0.0,1.0,1.0,,1.0
0.0,0.0,1,36,0,True,0.9879468577091638,0.5732945803005206,0.7617086185557677,0.012173047994822264,18.281006845338425,0.2695517132699905,0.9753032464607856,0.9766357578372551,1.0409887108724647,14.87764336201057,50.83213792895144,-220.52516900002956,0.0,1.0,1.0,,1.0
0.2,0.2222222222222222,0,36,8,True,1.0369622855149765,0.6556341451337216,0.8020841525754493,0.009261386793549988,19.250019661810782,0.18335499344734008,0.984007644735851,0.9738651534961407,1.032776866524311,15.060549945882181,51.45749736135098,-2500.023816728303,2303.713724964568,1.0,0.9722222222222222,0.875,1.0
0.2,0.2222222222222222,1,36,8,True,0.9802555045467882,0.5854056586889628,0.7616707628136931,0.011238354382139187,18.280098307528633,0.24935214715667087,0.9753032464607858,0.9771789502142115,1.0409887108706497,14.87764336197523,50.832137928831045,-210.40909104049206,0.0,1.0,1.0,1.0,1.0
0.4,0.3888888888888889,0,36,14,True,1.0323581154752828,0.6558724464646413,0.8020834665633148,0.00893978038201868,19.250003197519554,0.17899692809035972,0.984199085695391,0.9739300672527461,1.0327768665225334,15.060549940251885,51.457496795861914,-2458.8249261124633,2266.1912968947195,1.0,0.9722222222222222,0.9285714285714286,1.0
0.4,0.3888888888888889,1,36,14,True,0.9792033478823665,0.5796626961943713,0.7615163984144971,0.01090835864255679,18.27639356194793,0.24088915418262502,0.972015288705137,0.977178950229271,1.0409887108701752,14.87764336201914,50.832137928981446,-851.4436417500445,644.439720107145,1.0,0.9722222222222222,0.9285714285714286,1.0
0.6,0.6111111111111112,0,36,22,True,1.0297387295824036,0.6580772410204079,0.8020833910456003,0.008607368805093671,19.250001385094407,0.1849316314912309,0.9847119408620882,0.9741068591073939,1.0327768665229136,15.060549961605746,51.457499111988,-2354.719261081686,2165.6716842220926,1.0,0.9722222222222222,0.9545454545454546,1.0
0.6,0.6111111111111112,1,36,22,True,0.9550489883189891,0.5895428976318742,0.7603844643176129,0.009276365109374643,18.249227143622708,0.2306256282945064,0.947763270841065,0.9771789502280601,1.040559520486363,14.877643336814442,50.83214617406541,-5586.103759284667,5397.835221465281,1.0,0.9444444444444444,0.9090909090909091,1.0
0.8,0.7777777777777778,0,36,28,True,1.0234004849255691,0.6683121284291398,0.8019376283945938,0.007677078044157129,19.24650308147025,0.17056624778056587,0.9820922136207246,0.9743093250640906,1.0327768665226422,15.060549891779576,51.457498820933765,-2858.2490439345547,2679.1382235293695,1.0,0.9444444444444444,0.9285714285714286,1.0
0.8,0.7777777777777778,1,36,28,True,0.9505699806011101,0.5874379251562055,0.7601955965506745,0.009220963115441794,18.244694317216187,0.19606347493255638,0.9434098327094438,0.9771789777143893,1.040535062312106,14.87764336376289,50.83214936204436,-6202.902802861165,6015.636180004905,1.0,0.9166666666666666,0.8928571428571429,1.0
1.0,1.0,0,36,36,True,1.0095781414847762,0.6721574290792549,0.8011958017169288,0.007121679994718716,19.228699241206293,0.15768605332969357,0.9655373006836067,0.9753281623801462,1.0327744903393423,15.060549970553325,51.45751114905048,-5227.16246771417,5054.987858447948,1.0,0.9166666666666666,0.9166666666666666,
1.0,1.0,1,36,36,True,0.9249712506538497,0.5873466919580416,0.7600087331878559,0.008160526047385723,18.240209596508542,0.173718410077708,0.9403030206609772,0.9771795568235354,1.0406899935458374,14.877643362536814,50.83214928926575,-7034.146638379343,6860.044256762512,1.0,0.9166666666666666,0.9166666666666666,
