target_participation,actual_participation,day,ev,usage_type,smart,initial_soc,final_soc,target_soc,target_feasible,target_met
0.4,0.3888888888888889,1,OFFICE LV2_EV_007,office lv2,True,0.27014072040369536,0.7355560279892855,0.8,True,False
0.4,0.3888888888888889,1,OFFICE LV2_EV_008,office lv2,True,0.3903898952771979,0.8,0.8,True,True
0.4,0.3888888888888889,1,OFFICE LV3_EV_001,office lv3,True,0.42954682941863515,0.8,0.8,True,True
0.4,0.3888888888888889,1,OFFICE LV3_EV_002,office lv3,False,0.3270190268961633,0.8,0.8,True,True
0.4,0.3888888888888889,1,OFFICE LV3_EV_003,office lv3,True,0.36841240221567295,0.8,0.8,True,True
0.4,0.3888888888888889,1,OFFICE LV3_EV_004,office lv3,False,0.3314388716959214,0.8,0.8,True,True
0.4,0.3888888888888889,1,OFFICE LV3_EV_005,office lv3,False,0.2843554030163669,0.8,0.8,True,True
0.4,0.3888888888888889,1,COMMERCIAL LV3_EV_001,commercial lv3,False,0.26038055172624386,0.8,0.8,True,True
0.4,0.3888888888888889,1,COMMERCIAL LV3_EV_002,commercial lv3,True,0.20199107488374216,0.8,0.8,True,True
0.4,0.3888888888888889,1,COMMERCIAL LV3_EV_003,commercial lv3,False,0.20994111179326408,0.8,0.8,True,True
0.4,0.3888888888888889,1,COMMERCIAL LV3_EV_004,commercial lv3,True,0.24884985730839693,0.8,0.8,True,True
0.4,0.3888888888888889,1,COMMERCIAL LV3_EV_005,commercial lv3,False,0.25040144824015964,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_001,residential,False,0.45354648741007697,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_002,residential,False,0.3432478838158901,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_003,residential,True,0.39354943560314565,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_004,residential,True,0.5483107781461325,0.5834328315777908,0.8,True,False
0.6,0.6111111111111112,0,RESIDENTIAL_EV_005,residential,False,0.46487810630191784,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_006,residential,False,0.5260539326024419,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_007,residential,False,0.39891951494972766,0.8,0.8,True,True
